Name,Team,total_sgp,marginal_sgp,dollar_value,player_type,position_rank,playing_time,overall_rank
Gabriel Moreno,ARI,8.307430436697128,0.5411191374783861,2.8149221116599543,Hitter,181,450,288
Parker Meadows,DET,8.259692780512683,0.493381481293941,2.654809260778884,Hitter,182,525,289
Ryan Jeffers,MIN,8.231257157931166,0.464945858712424,2.5594357346779457,Hitter,183,523,290
Paul Goldschmidt,,8.196835220852204,0.430523921633462,2.4439840154467602,Hitter,184,504,291
Addison Barger,TOR,8.184575869956257,0.4182645707375148,2.4028659594132282,Hitter,185,483,292
Grayson Rodriguez,LAA,9.496141937488144,0.6617977439764751,2.2870091105938966,Pitcher,108,122,293
Colt Keith,DET,8.135402753879902,0.36909145466115945,2.2379385534410754,Hitter,186,469,294
Robert Garcia,TEX,9.433487866439007,0.5991436729273385,2.1651646936402744,Pitcher,109,64,295
Michael McGreevy,STL,9.411984371087083,0.5776401775754145,2.1233464875804433,Pitcher,110,144,296
Giancarlo Stanton,NYY,8.099007928425532,0.3326966292067901,2.1158697355187415,Hitter,187,469,297
Tatsuya Imai,HOU,9.399512855198259,0.5651686616865899,2.099092922623588,Pitcher,111,149,298
Yusei Kikuchi,LAA,9.389491756402965,0.5551475628912961,2.0796047246581333,Pitcher,112,169,299
Jorge Soler,LAA,8.086143255870665,0.31983195665192277,2.072721421105215,Hitter,188,525,300
Jesús Sánchez,HOU,8.081331535127177,0.31502023590843464,2.056582833929783,Hitter,189,448,301
Isaac Collins,KCR,8.036471741276117,0.27016044205737444,1.9061223786514878,Hitter,190,420,302
Dennis Santana,PIT,9.287041294631,0.45269710111933215,1.880367602916364,Pitcher,113,68,303
Michael Wacha,KCR,9.253904549041929,0.41956035553026005,1.8159260210936192,Pitcher,114,164,304
José Caballero,NYY,7.9842960654994535,0.21798476628071128,1.7311243401434726,Hitter,191,315,305
Nolan Gorman,STL,7.956105924522514,0.18979462530377145,1.636574163211497,Hitter,192,525,306
Clay Holmes,NYM,9.146521232119145,0.3121770386074765,1.6070958936667616,Pitcher,115,153,307
Emilio Pagán,CIN,9.127308626920888,0.2929644334092192,1.569732819897686,Pitcher,116,66,308
Jameson Taillon,CHC,9.089367355293115,0.25502316178144646,1.4959477961545453,Pitcher,117,153,309
Garrett Cleavinger,TBR,9.071001910548283,0.2366577170366142,1.4602322094487252,Pitcher,118,66,310
Foster Griffin,WSN,9.040489292069818,0.20614509855814944,1.4008938113848362,Pitcher,119,143,311
Jeffrey Springs,ATH,9.030675806156331,0.1963316126446628,1.3818093616533316,Pitcher,120,171,312
Bryan Abreu,HOU,9.012045953139825,0.1777017596281567,1.3455795757716185,Pitcher,121,68,313
Cade Horton,CHC,8.988903382517547,0.1545591890058784,1.3005738326959912,Pitcher,122,127,314
Nolan Arenado,ARI,7.849102859337725,0.08279156011898259,1.2776841969015886,Hitter,193,588,315
Trevor Megill,MIL,8.927743048567635,0.09339885505596612,1.181634311192726,Pitcher,123,66,316
Bubba Chandler,PIT,8.888454090779742,0.05410989726807358,1.1052284196964353,Pitcher,124,149,317
Francisco Alvarez,NYM,7.789385176394057,0.023073877175314728,1.0773901475419123,Hitter,194,446,318
Rhys Hoskins,,7.7816080597605914,0.015296760541849252,1.0513055758359289,Hitter,195,490,319
Zach Eflin,BAL,8.847615987763234,0.013271794251565439,1.0258098796364281,Pitcher,125,146,320
Kyle Teel,CHW,7.766311299218742,0.0,1.0,Hitter,196,464,321
Jack Leiter,TEX,8.834344193511669,0.0,1.0,Pitcher,126,148,321
